App,Categoria,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Shopee: Compre de Tudo Online,Compras,100000000,Gratuito,0.0,4.5,3390000,Não,Não,2.91.33,18/08/2022,4.4,Classificação Livre,20/10/2019
Pechinchou Promoções e Cupons,Compras,100000,Gratuito,0.0,4.8,3540,Não,Não,150.0.0,10/08/2022,5.0,Classificação Livre,6/08/2020
Magalu Loja Virtual: Pix da Lu,Compras,50000000,Gratuito,0.0,4.5,969000,Não,Não,3.75.2,19/08/2022,5.1,Classificação Livre,23/06/2014
Americanas: compras online,Compras,50000000,Gratuito,0.0,4.6,867000,Não,Não,3.87.0,29/07/2022,5.0,Classificação Livre,10/04/2014
Shoptime: Compras online,Compras,10000000,Gratuito,0.0,4.6,166000,Não,Não,3.86.3,19/07/2022,5.0,Classificação Livre,9/06/2014
Extra: Loja Online e Ofertas,Compras,10000000,Gratuito,0.0,4.7,161000,Não,Não,8.6.2,16/08/2022,6.0,Classificação Livre,14/08/2013
Facily: Compra Online e Oferta,Compras,10000000,Gratuito,0.0,2.6,174000,Não,Não,4.14.7,15/08/2022,4.4,Classificação Livre,8/06/2018
Submarino: Compras Online,Compras,10000000,Gratuito,0.0,4.4,135000,Não,Não,3.86.3,19/07/2022,5.0,Classificação Livre,25/02/2014
Americanas Delivery,Compras,500000,Gratuito,0.0,2.9,5300,Sim,Não,8.2.17,6/07/2022,5.0,Classificação Livre,31/10/2017
Lojas Pompéia – Moda Fashion,Compras,500000,Gratuito,0.0,4.7,3170,Não,Não,10.45.2,16/08/2022,6.0,Classificação Livre,3/03/2016
Km de Vantagens,Compras,1000000,Gratuito,0.0,2.2,16000,Sim,Não,4.6.7,29/09/2021,5.0,Classificação Livre,21/12/2012
Freto - Frete carga todo dia,Compras,100000,Gratuito,0.0,4.7,10100,Não,Não,2.3.32,3/08/2022,5.0,Classificação Livre,4/10/2017
Habib's,Compras,5000000,Gratuito,0.0,4.2,161000,Não,Não,3.8.6,7/08/2022,5.0,Classificação Livre,30/06/2019
