App,Categoria,Ranking,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Shopee: Compre de Tudo Online,Compras,1,100000000,Gratuito,0,4.5,3370000,Não,Não,2.91.33,16/08/2022,4.4,Classificação Livre,20/10/2019
SHEIN-Compras de Moda Online,Compras,2,100000000,Gratuito,0,4.8,4130000,Não,Não,8.3.8,4/08/2022,5.0,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",18/03/2014
Scret: perguntas anônimas,Social,3,1000000,Gratuito,0,3.8,6100,Sim,Sim,2.4,9/08/2022,5.0,Classificação Livre,15/07/2022
"Nubank: conta, cartão e mais",Finanças,4,50000000,Gratuito,0,4.7,1920000,Não,Não,Varia de acordo com o dispositivo,12/08/2022,Varia,Classificação Livre,25/04/2014
MegaFlix - Filmes e Séries,Entretenimento,5,1000000,Gratuito,0,4.6,56200,Sim,Não,2,21/07/2022,4.4,"Classificação 12 anos • Violência, Linguagem Imprópria",21/07/2022
Auxílio Brasil GovBR,Social,6,10000000,Gratuito,0,3.5,146000,Não,Não,3.23.0,2/08/2022,5.0,Classificação Livre,23/09/2015
CAIXA Tem,Finanças,7,100000000,Gratuito,0,4.1,4710000,Não,Não,Varia de acordo com o dispositivo,14/08/2022,Varia,Classificação Livre,6/04/2020
phone cleaner,Ferramentas,8,10000000,Gratuito,0,3.7,7570,Sim,Não,1.5.1,9/07/2022,7.0,Classificação Livre,29/04/2022
Bravo Cleaner: Impulsionador,Ferramentas,9,10000000,Gratuito,0,4.1,42400,Sim,Sim,1.3.4.1001,12/08/2022,5.0,Classificação Livre,21/09/2021
Kwai - Ver Vídeos Bacanas,Reproduzir e editar vídeos,10,100000000,Gratuito,0,4.8,9440000,Sim,Sim,6.7.20.526904,16/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,2/03/2018
Instagram,Social,11,1000000000,Gratuito,0,4.3,139000000,Sim,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação 12 anos • Linguagem Imprópria,3/04/2012
gov.br,Ferramentas,12,10000000,Gratuito,0,4.7,2330000,Não,Não,3.2.35,24/06/2022,6.0,Classificação Livre,27/04/2020
TikTok,Social,13,1000000000,Gratuito,0,4.5,51200000,Sim,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação 12 anos • Linguagem Imprópria,14/09/2015
Easy Booster,Ferramentas,14,10000000,Gratuito,0,3.8,6400,Sim,Não,1.3.2,8/07/2022,7.0,Classificação Livre,27/05/2022
WhatsApp Messenger,Comunicação,15,5000000000,Gratuito,0,4.3,168000000,Não,Não,2.22.16.75,15/08/2022,4.1,Classificação Livre,18/10/2010
CapCut - Editor de Vídeos,Reproduzir e editar vídeos,16,100000000,Gratuito,0,4.4,4520000,Não,Sim,6.5.0,16/08/2022,5.0,Classificação Livre,10/04/2020
Mercado Livre: Comprar ofertas,Compras,17,100000000,Gratuito,0,4.8,15400000,Não,Não,10.221.0,15/08/2022,6.0,Classificação Livre,7/09/2011
CashTube,Reproduzir e editar vídeos,18,1000000,Gratuito,0,4.1,25700,Sim,Não,1.1.2,9/08/2022,5.0,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",14/03/2022
