App,Categoria,Ranking,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Novo Hinário Adventista,Música e áudio,1,1000,Pago,10.99,4.1,130,Não,Não,1.0.3,8/08/2022,6.0,Classificação Livre,8/07/2022
Game Booster 4x Faster Pro,Ferramentas,2,1000000,Pago,1.29,4.4,97700,Não,Sim,1.1.8,5/08/2022,4.1,Classificação Livre,3/11/2019
Panda Mouse Pro(BETA),Ferramentas,3,100000,Pago,11.99,3.5,9250,Não,Não,1.5.0,2/04/2021,4.4,Classificação Livre,23/10/2019
Panda Gamepad Pro (BETA),Ferramentas,4,500000,Pago,12.0,2.9,30900,Não,Não,1.4.9,2/04/2021,4.4,Classificação Livre,21/02/2019
Torque Pro (OBD2 / Carro),Comunicação,5,1000000,Pago,11.95,3.9,71600,Não,Não,1.12.98,7/03/2022,4.1,Classificação Livre,7/03/2010
Você tem 1 real?,Entretenimento,6,10000,Pago,0.99,4.7,504,Não,Não,2.3,22/05/2021,4.1,Classificação Livre,19/01/2020
Meta Launcher PRO - iOS 15,Personalização,7,50000,Pago,0.49,4.5,7480,Sim,Não,31,30/03/2022,5.0,Classificação Livre,10/02/2022
Nova Launcher Prime,Personalização,8,5000000,Pago,4.99,4.6,357000,Não,Não,Varia de acordo com o dispositivo,22/12/2020,Varia,Classificação Livre,23/02/2012
Toca Life: Hospital,Educação,9,500000,Pago,12.9,4.2,7200,Sim,Não,1.3-play,27/06/2022,4.4,Classificação Livre,13/04/2017
audioPro™ B̶R̶L̶8̶.̶9̶9̶,Música e áudio,10,100000,Pago,0.69,4.3,4800,Não,Não,9.4.8,25/01/2021,4.4,Classificação Livre,24/12/2019
10X Fire GFX Sensitivity Tool,Ferramentas,11,100000,Pago,0.99,3.3,5440,Não,Não,2.3,1/06/2022,5.0,Classificação Livre,26/07/2021
FL Studio Mobile,Música e áudio,12,500000,Pago,18.0,4.1,32700,Não,Sim,4.0.16,1/06/2022,4.1,Classificação Livre,17/04/2013
Poweramp Unlocker,Música e áudio,13,5000000,Pago,9.9,4.7,284000,Não,Não,Varia de acordo com o dispositivo,27/04/2022,Varia,Classificação Livre,7/11/2010
TeamSpeak 3 - Voice Chat Software,Comunicação,14,1000000,Pago,4.49,3.4,42800,Não,Não,Varia de acordo com o dispositivo,25/11/2020,Varia,Classificação 12 anos • Linguagem Imprópria,7/10/2013
PRIME 003 - Modern Digital,Personalização,15,1000,Pago,6.99,4.5,102,Não,Não,1.0.8,3/07/2022,Varia,Classificação Livre,28/09/2021
IPTV Extreme Pro,Reproduzir e editar vídeos,16,100000,Pago,6.49,3.6,9530,Sim,Não,117.0,13/07/2022,4.4,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",29/10/2015
Game Booster VIP Lag Fix & GFX,Bibliotecas e demos,17,100000,Pago,2.89,4.6,9840,Não,Não,69,5/05/2022,4.4,Classificação Livre,15/05/2020
Toca Life: Neighborhood,Educação,18,100000,Pago,12.9,4.0,4170,Sim,Não,1.2,27/06/2022,4.4,Classificação Livre,25/10/2018
As Semanas Magicas,Saúde e fitness,19,1000000,Pago,30.99,4.6,37700,Não,Sim,11.0.2,25/07/2022,5.0,Classificação Livre,13/06/2012
Galeria Simples Pro: Fotos,Fotografia,20,1000000,Pago,3.79,3.9,108000,Não,Não,6.24.1,1/08/2022,5.0,Classificação Livre,4/11/2018
TouchRetouch,Fotografia,21,1000000,Pago,9.99,4.6,30000,Não,Não,5.0,15/07/2022,8.0,Classificação Livre,2/06/2011
iLiturgia,Livros e referências,22,10000,Pago,20.99,4.9,9940,Não,Não,9.4.39,7/08/2022,4.4,Classificação Livre,11/11/2010
IPTV Pro,Reproduzir e editar vídeos,23,100000,Pago,14.99,3.0,6240,Não,Não,6.2.3,24/06/2022,4.2,Classificação Livre,15/07/2012
TV Cast Pro for LG webOS,Reproduzir e editar vídeos,24,50000,Pago,19.99,2.1,1180,Não,Não,2.38,12/06/2022,5.0,Classificação Livre,11/11/2016
MD299: Hybrid watch face,Personalização,25,1000,Pago,6.99,4.2,48,Não,Não,Varia de acordo com o dispositivo,7/07/2022,Varia,Classificação Livre,15/06/2022
Toca Pet Doctor,Educação,26,100000,Pago,12.9,4.1,1650,Sim,Não,2.1-play,10/06/2022,4.4,Classificação Livre,9/04/2014
eBatuque,Música e áudio,27,1000,Pago,89.99,4.4,425,Não,Não,eBatuque 2.5-full,9/08/2022,7.0,Classificação Livre,4/02/2021
DroidCamX - HD Webcam for PC,Ferramentas,28,100000,Pago,25.0,4.6,14000,Não,Não,6.11,9/02/2022,5.0,Classificação Livre,23/01/2011
WFP 160 Luxury Watch Face,Personalização,29,5000,Pago,3.39,4.0,268,Não,Não,Varia de acordo com o dispositivo,26/07/2022,Varia,Classificação Livre,25/01/2022
Dark MODE Watch Face,Personalização,30,10000,Pago,6.99,4.1,213,Não,Não,Varia de acordo com o dispositivo,6/02/2022,Varia,Classificação Livre,3/02/2022
Você tem 2 reais?,Entretenimento,31,1000,Pago,1.99,3.4,42,Não,Não,2.1,1/02/2021,4.1,Classificação Livre,27/02/2020
NFC Tools - Pro Edition,Ferramentas,32,100000,Pago,9.99,4.3,6400,Não,Não,8.6.1,15/11/2021,4.0,Classificação Livre,12/05/2014
Bíblia Strong Premium,Educação,33,1000,Pago,5.99,4.8,59,Não,Não,3.0,25/03/2022,5.0,Classificação Livre,20/12/2021
Calls Blacklist PRO,Comunicação,34,100000,Pago,3.99,4.0,40400,Não,Não,Varia de acordo com o dispositivo,12/12/2019,Varia,Classificação Livre,9/03/2012
ACTIVE 48 - Futuristic Digital,Personalização,35,100,Pago,5.99,5.0,9,Não,Não,1.0.1,2/08/2022,Varia,Classificação Livre,7/12/2021
Toca Life: Vacation,Educação,36,100000,Pago,12.9,4.2,8700,Sim,Não,1.4-play,27/06/2022,4.4,Classificação Livre,15/06/2016
Screen Mirroring Pro App,Ferramentas,37,100000,Pago,19.99,1.7,1840,Não,Não,1.30,28/07/2022,5.0,Classificação Livre,2/09/2019
AlpineQuest Off-Road Explorer,Mapas e navegação,38,100000,Pago,44.99,4.7,7610,Não,Não,2.3.2c,9/08/2022,2.1,Classificação Livre,28/03/2010
Toca Life: School,Educação,39,100000,Pago,12.9,4.3,15900,Sim,Não,1.6-play,27/06/2022,4.4,Classificação Livre,19/05/2016
ReadEra Premium,Livros e referências,40,100000,Pago,35.99,4.8,21000,Não,Não,22.05.05+1660,13/05/2022,4.1,Classificação Livre,21/12/2019
Toca Mini,Educação,41,100000,Pago,12.9,3.8,2600,Sim,Não,2.1-play,13/07/2022,4.4,Classificação Livre,19/12/2013
PGT +: Pro GFX & Optimizer,Ferramentas,42,100000,Pago,1.39,4.1,57900,Não,Não,0.22.4,31/07/2022,4.3,Classificação Livre,24/05/2018
Duplex play,Entretenimento,43,5000,Pago,6.99,2.4,217,Não,Não,5.0.1,2/03/2022,5.0,Classificação Livre,2/03/2022
Toca Life: Pets,Educação,44,100000,Pago,12.9,4.3,2860,Sim,Não,1.3-play,27/06/2022,4.4,Classificação Livre,6/12/2017
Toca Life: City,Educação,45,500000,Pago,12.9,4.1,32500,Sim,Não,1.7-play,27/06/2022,4.4,Classificação Livre,9/09/2015
