App,Categoria,Ranking,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Google One,Produtividade,1,500000000,Gratuito,0,4.3,367000,Não,Sim,Varia de acordo com o dispositivo,25/07/2022,Varia,Classificação Livre,12/09/2018
"Globoplay: filmes, séries e +",Entretenimento,2,50000000,Gratuito,0,4.3,667000,Sim,Sim,Varia de acordo com o dispositivo,10/08/2022,5.0,"Classificação 14 anos • Violência, Temas Sensíveis",20/08/2013
HBO Max: Assista à TV e filmes,Entretenimento,3,100000000,Gratuito,0,3.1,397000,Sim,Sim,Varia de acordo com o dispositivo,8/08/2022,5.0,"Classificação 14 anos • Violência, Conteúdo Sexual, Linguagem Imprópria",29/06/2021
Tinder - Bate Papo e Namoro,Estilo de vida,4,100000000,Gratuito,0,3.5,4700000,Sim,Sim,13.14.0,2/08/2022,7.0,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",15/07/2013
Disney+,Entretenimento,5,100000000,Gratuito,0,4.3,1970000,Não,Sim,2.9.1-rc1,15/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Linguagem Imprópria",16/11/2020
"Canva: Design, Foto e Vídeo",Arte e design,6,100000000,Gratuito,0,4.8,9160000,Não,Sim,2.178.0,10/08/2022,5.0,Classificação 10 anos • Linguagem Imprópria,27/11/2017
TikTok,Social,7,1000000000,Gratuito,0,4.5,51200000,Sim,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação 12 anos • Linguagem Imprópria,14/09/2015
Star+,Entretenimento,8,10000000,Gratuito,0,4.3,213000,Não,Sim,2.10.0-rc1,1/08/2022,5.0,"Classificação 16 anos • Violência, Conteúdo Sexual, Drogas Ilícitas",17/08/2021
Crunchyroll,Entretenimento,9,50000000,Gratuito,0,4.4,1020000,Sim,Sim,Varia de acordo com o dispositivo,10/08/2022,Varia,"Classificação 16 anos • Violência, Conteúdo Sexual, Linguagem Imprópria",20/12/2010
Kwai - Ver Vídeos Bacanas,Reproduzir e editar vídeos,10,100000000,Gratuito,0,4.8,9440000,Sim,Sim,6.7.20.526904,16/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,2/03/2018
Resso - Músicas e Podcasts,Música e áudio,11,100000000,Gratuito,0,4.6,2760000,Sim,Sim,1.84.0,11/08/2022,5.0,Classificação 12 anos • Conteúdo Sexual,10/05/2019
Twitch: Transmissão ao vivo,Entretenimento,12,100000000,Gratuito,0,4.5,4960000,Sim,Sim,Varia de acordo com o dispositivo,8/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,20/05/2015
Duolingo: Inglês e muito mais!,Educação,13,100000000,Gratuito,0,4.7,13300000,Sim,Sim,Varia de acordo com o dispositivo,9/08/2022,Varia,Classificação Livre,29/05/2013
happn — App de paquera,Estilo de vida,14,50000000,Gratuito,0,4.2,1660000,Sim,Sim,26.19.0,16/08/2022,5.0,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",19/08/2014
Microsoft OneDrive,Produtividade,15,1000000000,Gratuito,0,4.8,3500000,Não,Sim,6.61,12/08/2022,6.0,Classificação Livre,28/08/2012
Serasa: Consulta CPF e Score,Finanças,16,10000000,Gratuito,0,4.4,559000,Sim,Sim,8.22.0,15/07/2022,5.0,Classificação Livre,25/11/2015
Viki: doramas em português,Entretenimento,17,50000000,Gratuito,0,4.0,857000,Sim,Sim,22.7.0,6/08/2022,6.0,"Classificação 14 anos • Violência, Conteúdo Sexual, Linguagem Imprópria",4/03/2012
Dating: Inner Circle Encontros,Encontros,18,1000000,Gratuito,0,4.1,25100,Não,Sim,4.33,15/08/2022,Varia,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",4/06/2015
LinkedIn: Pesquisa de emprego,Corporativo,19,1000000000,Gratuito,0,4.6,2470000,Sim,Sim,4.1.718.1,10/08/2022,8.0,Classificação 12 anos • Linguagem Imprópria,7/04/2011
Whitebook Medicina: Residência,Medicina,20,1000000,Gratuito,0,4.4,10400,Sim,Sim,11.16.0,8/08/2022,5.0,Classificação Livre,10/04/2013
"Strava: Corra, Pedale, Explore",Saúde e fitness,21,50000000,Gratuito,0,4.4,770000,Não,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação 12 anos • Linguagem Imprópria,9/06/2011
Grindr - Bate-papo gay,Social,22,10000000,Gratuito,0,3.8,721000,Sim,Sim,8.14.1,10/08/2022,5.0,"Classificação 18 anos • Conteúdo Sexual, Nudez, Linguagem Imprópria",25/02/2011
Google Drive,Produtividade,23,5000000000,Gratuito,0,4.3,9350000,Não,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação Livre,27/04/2011
Premiere,Esportes,24,5000000,Gratuito,0,4.3,100000,Sim,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação Livre,5/07/2013
Passei Direto - App de Estudos,Educação,25,10000000,Gratuito,0,3.9,206000,Sim,Sim,6.10.0,15/06/2022,5.0,Classificação Livre,30/10/2013
BuzzCast - Ex-FaceCast,Social,26,10000000,Gratuito,0,4.1,64300,Não,Sim,2.7.58,13/08/2022,5.0,"Classificação 14 anos • Conteúdo Sexual, Linguagem Imprópria",11/05/2018
Dreame,Livros e referências,27,10000000,Gratuito,0,4.4,983000,Não,Sim,3.6.1,12/08/2022,5.0,"Classificação 14 anos • Violência, Conteúdo Sexual, Drogas Lícitas",9/08/2018
Ligo Live,Entretenimento,28,1000000,Gratuito,0,3.7,6150,Não,Sim,1.3.4.0,12/08/2022,6.0,"Classificação 14 anos • Conteúdo Sexual, Conteúdo Impactante, Linguagem Imprópria",7/08/2020
Facebook,Social,29,5000000000,Gratuito,0,4.0,130000000,Sim,Sim,Varia de acordo com o dispositivo,15/08/2022,Varia,Classificação 12 anos • Linguagem Imprópria,
Deezer: Ouvir Música e Podcast,Música e áudio,30,100000000,Gratuito,0,4.6,2950000,Sim,Sim,Varia de acordo com o dispositivo,25/07/2022,Varia,"Classificação 12 anos • Conteúdo Sexual, Linguagem Imprópria",
